"Project","MethodIndex","Method","Count","Tests"
"xalan-j","11","org.apache.fop.fonts.truetype.OpenFont.unicodeToWinAnsi(int)","9303872","org.apache.fop.fonts.truetype.TTFFileTestCase.testLastChar [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testIsCFF [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFlags [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetWeightClass [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFontBBox [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testBBox [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.textUnicodeCoverage [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetKerning [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetSubFamilyName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetItalicAngle [fop-core],org.apache.fop.fonts.truetype.TTFFontLoaderTestCase.testUseKerning [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetCMaps [fop-core],org.apache.fop.accessibility.fo.ArtifactImageBugTestCase.testMarkerStateTrackingBug [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetPostScriptName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFamilyNames [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testStrikeout [fop-core],org.apache.fop.svg.font.FOPFontFamilyResolverTestCase.testResolve [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testLastChar [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testConvertTTFUnit2PDFUnit [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFamilyNames [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetLowerCaseAscent [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCharWidth [fop-core],org.apache.fop.render.pcl.PCLPainterTestCase.testTruetype [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetCharSetName [fop-core],org.apache.fop.render.pcl.fonts.PCLTTFFontReaderTestCase.verifyFontAData [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetCharWidth [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCharSetName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetLowerCaseAscent [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testReservedIndex [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetStemV [fop-core],org.apache.fop.render.pcl.fonts.PCLFontReaderFactoryTestCase.verifyTypeIdentification [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetXHeight [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetWidths [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testUnderline [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCapHeight [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetXHeight [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCMaps [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFullName [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testCheckTTC [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetWeightClass [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetGlyphName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetKerning [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testBBox [fop-core],org.apache.fop.svg.font.FOPFontFamilyResolverTestCase.testDeriveFont [fop-core],org.apache.fop.svg.font.FOPFontFamilyResolverTestCase.testGetFamilyThatCanDisplay [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFirstChar [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFontBBox [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testIsEmbeddable [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testConvertTTFUnit2PDFUnit [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetPostScriptName [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetCapHeight [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testIsCFF [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFlags [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.textUnicodeCoverage [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetStemV [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetAnsiKerning [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetWidths [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testReadFont3Args [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetItalicAngle [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetGlyphName [fop-core],org.apache.fop.svg.font.GlyphLayoutTestCase.testAdvancedGlyphPositioning [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFullName [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFirstChar [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testUnderline [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testStrikeout [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetSubFamilyName [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testIsEmbeddable [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testCheckTTC [fop-core],org.apache.fop.svg.font.GlyphLayoutTestCase.testBasicGlyphPositioning [fop-core],org.apache.fop.render.pcl.fonts.truetype.PCLTTFCharacterWriterTestCase.verifyCharacterDefinition [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testReservedIndex [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetAnsiKerning [fop-core]"
"xalan-j","12","org.apache.fop.util.HexEncoder.encode(int,int)","7371328","org.apache.fop.pdf.PDFFactoryTestCase.testMakeOTFFont [fop-core],org.apache.fop.util.HexEncoderTestCase.testEncodeCodepoints [fop-core],org.apache.fop.util.HexEncoderTestCase.testEncodeChar [fop-core]"
"xalan-j","13","org.apache.fop.complexscripts.fonts.GlyphProcessingState.getAssociations(int,int,boolean,GlyphTester,CharAssociation[],int[])","3674608","org.apache.fop.complexscripts.scripts.arabic.ArabicWordFormsTestCase.testArabicWordForms [fop-core]"
"xalan-j","14","org.apache.fop.fonts.truetype.OpenFont.readHorizontalMetrics()","3299040","org.apache.fop.pdf.PDFFactoryTestCase.testMakeOTFFont [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testLastChar [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testIsCFF [fop-core],org.apache.fop.fonts.truetype.OTFSubSetFileTestCase.testFontNames [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFlags [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFontBBox [fop-core],org.apache.fop.fonts.truetype.OTFToType1TestCase.testFont [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.textUnicodeCoverage [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetKerning [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetSubFamilyName [fop-core],org.apache.fop.fonts.truetype.OTFSubSetFileTestCase.testStringIndex [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetItalicAngle [fop-core],org.apache.fop.fonts.truetype.TTFFontLoaderTestCase.testUseKerning [fop-core],org.apache.fop.fonts.truetype.OTFSubSetFileTestCase.testOffsets [fop-core],org.apache.fop.fonts.DejaVuLGCSerifTestCase.testStrikeout [fop-core],org.apache.fop.fonts.DejaVuLGCSerifTestCase.testUnderline [fop-core],org.apache.fop.fonts.truetype.OTFSubSetFileTestCase.testCharStringIndex [fop-core],org.apache.fop.intermediate.IFMimickingTestCase.testMimickingPDF [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFamilyNames [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testLastChar [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testConvertTTFUnit2PDFUnit [fop-core],org.apache.fop.fonts.truetype.OTFSubSetFileTestCase.testOrderOfEntries [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetLowerCaseAscent [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCharWidth [fop-core],org.apache.fop.render.pcl.PCLPainterTestCase.testTruetype [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetCharSetName [fop-core],org.apache.fop.fonts.truetype.OTFSubSetFileTestCase.testResizeOfOperand [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetCharWidth [fop-core],org.apache.fop.fonts.truetype.OTFSubSetFileTestCase.testCompositeGlyphMapping [fop-core],org.apache.fop.fonts.truetype.OTFSubSetFileTestCase.testTopDictData [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCharSetName [fop-core],org.apache.fop.fonts.truetype.GlyfTableTestCase.testSingleRecursionStep [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testReservedIndex [fop-core],org.apache.fop.fonts.truetype.OTFSubSetFileTestCase.testResizeOfOperand2 [fop-core],org.apache.fop.render.pcl.fonts.PCLFontReaderFactoryTestCase.verifyTypeIdentification [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetXHeight [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testCheckTTC [fop-core],org.apache.fop.fonts.truetype.GlyfTableTestCase.testGlyphsNotRemappedTwice [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetKerning [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testBBox [fop-core],org.apache.fop.svg.font.FOPFontFamilyResolverTestCase.testGetFamilyThatCanDisplay [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFontBBox [fop-core],org.apache.fop.fonts.truetype.OTFSubSetFileTestCase.testFDSelect [fop-core],org.apache.fop.render.pdf.PDFEncodingTestCase.testPDFEncodingWithNonBMPFont [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testConvertTTFUnit2PDFUnit [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetCapHeight [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.textUnicodeCoverage [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetStemV [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetAnsiKerning [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testReadFont3Args [fop-core],org.apache.fop.fonts.truetype.OTFToType1TestCase.testFontType [fop-core],org.apache.fop.fonts.truetype.OTFSubSetFileTestCase.testWriteCIDDictsAndSubrs [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetGlyphName [fop-core],org.apache.fop.svg.font.GlyphLayoutTestCase.testAdvancedGlyphPositioning [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFirstChar [fop-core],org.apache.fop.fonts.truetype.OTFSubSetFileTestCase.testFDArraySize [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetSubFamilyName [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testIsEmbeddable [fop-core],org.apache.fop.render.pcl.fonts.truetype.PCLTTFCharacterWriterTestCase.verifyCharacterDefinition [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testReservedIndex [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetAnsiKerning [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetWeightClass [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testBBox [fop-core],org.apache.fop.render.pcl.fonts.PCLSoftFontManagerTestCase.testSplitCompositeGlyphs [fop-core],org.apache.fop.fonts.truetype.OTFSubSetFileTestCase.testBoundingBoxes [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetCMaps [fop-core],org.apache.fop.accessibility.fo.ArtifactImageBugTestCase.testMarkerStateTrackingBug [fop-core],org.apache.fop.fonts.truetype.OTFFileTestCase.testBoundingBoxes [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetPostScriptName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testStrikeout [fop-core],org.apache.fop.svg.font.FOPFontFamilyResolverTestCase.testResolve [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFamilyNames [fop-core],org.apache.fop.render.pcl.fonts.PCLTTFFontReaderTestCase.verifyFontAData [fop-core],org.apache.fop.fonts.truetype.OTFSubSetFileTestCase.testCharset [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetLowerCaseAscent [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetStemV [fop-core],org.apache.fop.fonts.truetype.OTFFileTestCase.testGlyphNumberAndWidths [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetWidths [fop-core],org.apache.fop.render.pdf.PDFAConformanceTestCase.svgTransparency [fop-core],org.apache.fop.render.pdf.PDFAConformanceTestCase.svgContainingBitmapWithTransparency [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testUnderline [fop-core],org.apache.fop.intermediate.IFMimickingTestCase.testMimickingPS [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCapHeight [fop-core],org.apache.fop.pdf.PDFVTTestCase.textIF [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetXHeight [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCMaps [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFullName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetWeightClass [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetGlyphName [fop-core],org.apache.fop.fonts.truetype.OTFSubSetFileTestCase.testGlyphNumberAndWidths [fop-core],org.apache.fop.render.afp.AFPTrueTypeTestCase.testAFPTrueType [fop-core],org.apache.fop.svg.font.FOPFontFamilyResolverTestCase.testDeriveFont [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFirstChar [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testIsEmbeddable [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetPostScriptName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testIsCFF [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFlags [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetWidths [fop-core],org.apache.fop.fonts.truetype.GlyfTableTestCase.testPopulateNoCompositeGlyphs [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetItalicAngle [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testGetFullName [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testUnderline [fop-core],org.apache.fop.fonts.truetype.TTFFileTestCase.testStrikeout [fop-core],org.apache.fop.fonts.truetype.GlyfTableTestCase.testPopulateGlyphsWithComposites [fop-core],org.apache.fop.fonts.truetype.OTFFileTestCase.testFontNames [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testCheckTTC [fop-core],org.apache.fop.svg.font.GlyphLayoutTestCase.testBasicGlyphPositioning [fop-core],org.apache.fop.fonts.DejaVuLGCSerifTestCase.testFontName [fop-core]"
"xalan-j","15","org.apache.fop.fonts.truetype.FontFileReader.getBytes(int,int)","3223344","org.apache.fop.render.pdf.PDFAConformanceTestCase.svgContainingBitmapWithTransparency [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testUnderline [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFlags [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCapHeight [fop-core],org.apache.fop.pdf.PDFVTTestCase.textIF [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.textUnicodeCoverage [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCMaps [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFullName [fop-core],org.apache.fop.fonts.truetype.GlyfTableTestCase.testGlyphsNotRemappedTwice [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetWeightClass [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetGlyphName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetKerning [fop-core],org.apache.fop.render.pdf.PDFAConformanceTestCase.testImages [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetItalicAngle [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testBBox [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFirstChar [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFontBBox [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testIsEmbeddable [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetPostScriptName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testIsCFF [fop-core],org.apache.fop.accessibility.fo.ArtifactImageBugTestCase.testMarkerStateTrackingBug [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFamilyNames [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testStrikeout [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testLastChar [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testConvertTTFUnit2PDFUnit [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetStemV [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetWidths [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testReadFont3Args [fop-core],org.apache.fop.fonts.truetype.GlyfTableTestCase.testPopulateNoCompositeGlyphs [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCharWidth [fop-core],org.apache.fop.render.pcl.PCLPainterTestCase.testTruetype [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCharSetName [fop-core],org.apache.fop.fonts.truetype.GlyfTableTestCase.testSingleRecursionStep [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetLowerCaseAscent [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetXHeight [fop-core],org.apache.fop.render.pdf.PDFAConformanceTestCase.testAllOk [fop-core],org.apache.fop.fonts.truetype.GlyfTableTestCase.testPopulateGlyphsWithComposites [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetSubFamilyName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testCheckTTC [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testReservedIndex [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetAnsiKerning [fop-core],org.apache.fop.render.pdf.PDFAConformanceTestCase.svgTransparency [fop-core]"
"xalan-j","16","org.apache.fop.complexscripts.util.GlyphSequence.copyBuffer(IntBuffer)","3062464","org.apache.fop.complexscripts.scripts.arabic.ArabicWordFormsTestCase.testArabicWordForms [fop-core]"
"xalan-j","17","org.apache.fop.fonts.truetype.TTFSubSetFile.getFontSubset()","3059520","org.apache.fop.render.pdf.PDFAConformanceTestCase.svgContainingBitmapWithTransparency [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testUnderline [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFlags [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCapHeight [fop-core],org.apache.fop.pdf.PDFVTTestCase.textIF [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.textUnicodeCoverage [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCMaps [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFullName [fop-core],org.apache.fop.fonts.truetype.GlyfTableTestCase.testGlyphsNotRemappedTwice [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetWeightClass [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetGlyphName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetKerning [fop-core],org.apache.fop.render.pdf.PDFAConformanceTestCase.testImages [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetItalicAngle [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testBBox [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFirstChar [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFontBBox [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testIsEmbeddable [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetPostScriptName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testIsCFF [fop-core],org.apache.fop.accessibility.fo.ArtifactImageBugTestCase.testMarkerStateTrackingBug [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetFamilyNames [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testStrikeout [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testLastChar [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testConvertTTFUnit2PDFUnit [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetStemV [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetWidths [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testReadFont3Args [fop-core],org.apache.fop.fonts.truetype.GlyfTableTestCase.testPopulateNoCompositeGlyphs [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCharWidth [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetCharSetName [fop-core],org.apache.fop.fonts.truetype.GlyfTableTestCase.testSingleRecursionStep [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetLowerCaseAscent [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetXHeight [fop-core],org.apache.fop.render.pdf.PDFAConformanceTestCase.testAllOk [fop-core],org.apache.fop.fonts.truetype.GlyfTableTestCase.testPopulateGlyphsWithComposites [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetSubFamilyName [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testCheckTTC [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testReservedIndex [fop-core],org.apache.fop.fonts.truetype.TTFSubSetFileTestCase.testGetAnsiKerning [fop-core],org.apache.fop.render.pdf.PDFAConformanceTestCase.svgTransparency [fop-core]"
"xalan-j","18","org.apache.fop.complexscripts.util.CharAssociation.sortIntervals(int[],int[])","2922320","org.apache.fop.complexscripts.scripts.arabic.ArabicWordFormsTestCase.testArabicWordForms [fop-core]"
"xalan-j","19","org.apache.fop.complexscripts.util.CharAssociation.extractIntervals(CharAssociation[])","2193536","org.apache.fop.complexscripts.scripts.arabic.ArabicWordFormsTestCase.testArabicWordForms [fop-core]"
"xalan-j","20","org.apache.fop.complexscripts.util.CharAssociation.mergeIntervals(int[])","2189280","org.apache.fop.complexscripts.scripts.arabic.ArabicWordFormsTestCase.testArabicWordForms [fop-core]"
