"MethodName","Patch","Compiled","AllTestsPassed","TotalExecutionTime(ms)","Fitness","FitnessImprovement"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","|","true","true","2079.521","2079.0","0.0"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.statement.SwapStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1116 <-> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1146 |","true","true","1602.6132","1602.0","477.0"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.statement.SwapStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1108 <-> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1153 |","true","false","1726.2086","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.statement.ReplaceStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":744 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1139 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.statement.DeleteStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1116 |","true","false","1644.6583","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.statement.CopyStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":762 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1081:1123 | gin.edit.statement.DeleteStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1153 |","true","true","1603.7506","1603.0","476.0"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.statement.ReplaceStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1123 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1108 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.statement.CopyStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":518 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1081:1116 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.statement.CopyStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":762 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1081:1123 | gin.edit.statement.CopyStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":855 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1081:1081 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.statement.CopyStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":955 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1081:1153 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.statement.ReplaceStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1414 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1164 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.statement.DeleteStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1153 |","true","true","1976.7913","1976.0","103.0"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.statement.CopyStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1153 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1081:1153 |","true","true","2353.2449","2353.0","-274.0"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.statement.DeleteStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1082 |","true","false","2879.3474","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.statement.DeleteStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1146 |","true","false","59337.574","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.statement.ReplaceStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":558 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1108 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.statement.CopyStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1296 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1081:1153 |","false","false","0.0","1.7976931348623157E308","-1.7976931348623157E308"
"com.google.gson.GsonBuilder.com.google.gson.GsonBuilder.create()","| gin.edit.statement.CopyStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":762 -> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1081:1123 | gin.edit.statement.SwapStatement ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1153 <-> ""./gson/src/main/java/com/google/gson/GsonBuilder.java"":1108 |","true","false","1648.0474","1.7976931348623157E308","-1.7976931348623157E308"
